x,y,t,type,id
284,564,1436206024102,m,717
284,562,1436206024111,m,717
284,560,1436206024122,m,717
284,554,1436206024133,m,717
284,548,1436206024142,m,717
284,541,1436206024152,m,717
284,534,1436206024162,m,717
284,528,1436206024172,m,717
284,525,1436206024183,m,717
284,522,1436206024192,m,717
283,521,1436206024558,m,717
277,512,1436206024586,m,717
275,499,1436206024587,m,717
269,491,1436206024598,m,717
261,482,1436206024608,m,717
254,475,1436206024619,m,717
247,467,1436206024628,m,717
240,459,1436206024639,m,717
238,454,1436206024649,m,717
232,449,1436206024659,m,717
227,446,1436206024670,m,717
225,444,1436206024680,m,717
213,427,1436206024726,m,717
212,425,1436206024730,m,717
211,423,1436206024741,m,717
211,422,1436206024750,m,717
210,421,1436206024760,m,717
210,420,1436206024771,m,717
209,419,1436206024780,m,717
208,418,1436206024791,m,717
208,417,1436206024801,m,717
207,415,1436206024811,m,717
207,413,1436206024821,m,717
204,399,1436206024867,m,717
204,396,1436206024872,m,717
204,392,1436206024881,m,717
204,388,1436206024892,m,717
204,386,1436206024902,m,717
204,380,1436206024913,m,717
204,375,1436206024923,m,717
207,369,1436206024933,m,717
207,360,1436206024943,m,717
208,354,1436206024953,m,717
210,343,1436206024962,m,717
227,316,1436206025007,m,717
231,307,1436206025013,m,717
233,299,1436206025024,m,717
238,290,1436206025033,m,717
244,282,1436206025045,m,717
246,273,1436206025054,m,717
256,264,1436206025064,m,717
258,259,1436206025075,m,717
260,254,1436206025084,m,717
266,252,1436206025095,m,717
267,249,1436206025105,m,717
270,240,1436206025130,m,717
275,236,1436206025135,m,717
278,230,1436206025146,m,717
280,226,1436206025156,m,717
284,222,1436206025166,m,717
286,217,1436206025176,m,717
291,211,1436206025186,m,717
292,206,1436206025195,m,717
295,203,1436206025206,m,717
299,203,1436206025216,m,717
304,196,1436206025227,m,717
315,184,1436206025284,m,717
315,184,1436206025289,m,717
315,183,1436206025297,m,717
315,183,1436206025307,m,717
315,183,1436206025317,m,717
315,183,1436206025328,m,717
315,182,1436206025368,m,717
315,182,1436206025379,m,717
315,182,1436206025388,m,717
315,182,1436206025398,m,717
315,182,1436206025409,m,717
314,182,1436206025419,m,717
314,182,1436206025430,m,717
